Pclass,Sex,Age,SibSp,Parch,Family_size,Cabin_status,Alone,Embarked_nan,Age_nan,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Age_scaled,Fare_log_scaled,Survived
1,1,54.0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.888773364704389,1.0536186898027085,0
3,1,26.0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.15914652690546593,0
2,1,25.0,1,2,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3078678292703201,0.8282920084773573,0
3,1,26.0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.22734977173157042,0
3,0,22.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5351065734746003,-0.5336650297044978,0
3,0,31.0,1,1,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1466096591382404,0.11776657970912631,1
1,1,49.0,1,0,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.510042124363922,1.6090731639010845,1
2,1,19.0,1,1,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7623453176788806,0.7029042943987152,0
2,1,24.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3836140773384135,-0.5351765107494875,0
3,1,16.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.9895840618831608,-0.784724404505949,1
1,1,25.0,1,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3078678292703201,1.1218578429863693,1
3,1,39.0,0,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7525796436829877,0.27988351438069276,0
3,0,47.0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3585496282277352,-0.22426746804580522,0
1,1,60.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.3432508531129495,0.3748193874565838,0
2,1,24.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3836140773384135,-0.33028389477929004,0
1,1,41.0,0,0,1,1,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9040721398191746,1.016258137922098,0
2,0,27.0,1,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.15637533313413327,0.14050191100822854,0
2,1,29.0,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0048828369979464345,-0.26801320198353873,1
3,1,38.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6768333956148943,-0.8026247516712269,0
3,1,44.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.131310884023455,-0.784724404505949,0
2,0,21.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.6108528215426937,-0.5351765107494875,1
3,0,24.0,0,2,2,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.3836140773384135,-0.08602206604823324,1
2,0,45.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2070571320915482,-0.29373292350686403,1
2,1,8.0,1,1,2,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.595554046427908,0.7029042943987152,1
3,0,8.0,3,1,4,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.595554046427908,0.14404676683461812,0
1,1,41.0,0,0,1,1,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9040721398191746,0.6534633486505242,0
3,1,32.0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2223559072063338,-0.784724404505949,1
1,1,50.0,1,0,2,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.5857883724320154,1.130281326241595,0
3,1,21.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.6108528215426937,-0.8139026653384837,0
2,0,50.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5857883724320154,-0.5351765107494875,1
3,0,23.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.45936032540650695,-0.7992113668030308,0
3,1,32.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2223559072063338,-0.8075070575353541,1
3,0,22.0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5351065734746003,-0.8198377001901485,0
3,0,21.0,2,2,4,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.6108528215426937,0.6352212747128362,0
3,1,26.0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8198377001901485,0
3,1,25.0,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3078678292703201,-0.8842868607213866,0
3,1,15.0,1,1,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0653303099512543,-0.8837551177684755,0
3,0,31.0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1466096591382404,-0.012199651727069436,0
2,1,25.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3078678292703201,-0.33028389477929004,0
2,1,54.0,0,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.888773364704389,0.3538149107368302,0
1,1,28.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.08062908506603986,0.9552795205376984,0
1,0,38.0,0,0,2,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6768333956148943,1.4981248545807073,1
2,0,41.0,0,1,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9040721398191746,0.0669469497115936,1
3,1,33.0,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29810215527442724,-0.7165127369653546,0
2,1,52.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.7372808685682022,-0.29373292350686403,0
3,1,16.0,1,1,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.9895840618831608,0.10437357954614819,0
3,1,20.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.6865990696107872,-0.784724404505949,0
3,1,9.0,4,2,4,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.5198077983598148,0.5433183504658177,0
3,1,26.0,0,0,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.777555788472179,1
3,1,26.0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8104521826025184,0
3,1,26.0,0,0,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8026247516712269,0
1,0,54.0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.888773364704389,1.192458099809574,1
3,1,26.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8026247516712269,0
1,1,60.0,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3432508531129495,1.487786349869561,1
3,1,26.0,0,0,7,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,1.1411311719171864,1
1,0,44.0,0,1,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.131310884023455,1.1676636768146857,1
3,1,20.0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.6865990696107872,-0.7992113668030308,1
3,1,26.0,3,1,4,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.23212158120222667,0.3330355672622122,0
2,1,16.0,0,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.9895840618831608,-0.5351765107494875,0
3,0,43.0,1,6,6,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0555646359553614,0.9509395317658309,0
3,1,17.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.9138378138150675,-0.7165127369653546,0
1,1,37.0,1,1,2,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6010871475468009,1.0671594585042232,1
2,1,62.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.4947433492491364,-0.5351765107494875,1
3,1,8.0,4,1,5,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.595554046427908,0.46788894705352085,0
3,1,32.0,0,0,7,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2223559072063338,1.1411311719171864,1
3,0,20.0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.6865990696107872,-0.5981813505524581,0
2,0,28.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.08062908506603986,-0.33028389477929004,1
3,0,21.0,0,0,1,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6108528215426937,-0.8198377001901485,0
3,1,37.0,2,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6010871475468009,-0.7992113668030308,0
3,0,17.0,0,0,2,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9138378138150675,-0.2270734729658221,0
3,0,22.0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5351065734746003,-0.8198377001901485,1
1,1,46.0,1,0,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.2828033801596417,1.222626760466434,0
3,1,26.0,0,0,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.18470844283826027,0
3,1,24.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3836140773384135,-0.784724404505949,0
1,1,29.0,1,0,2,1,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.0048828369979464345,1.309761450056941,0
1,0,56.0,0,1,2,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.040265860840576,1.5379663047683383,1
2,1,31.0,1,1,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1466096591382404,0.7098946565362115,0
3,1,26.0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8198377001901485,1
2,1,32.0,1,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2223559072063338,0.3538149107368302,1
3,1,33.0,1,1,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.29810215527442724,0.11776657970912631,0
3,1,59.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.267504605044856,-0.8811257177842515,0
1,0,58.0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.1917583569767625,0.3748193874565838,1
3,0,22.0,1,0,2,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5351065734746003,-0.12194272214359861,1
2,0,3.0,1,2,3,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.9742852867683753,0.8282920084773573,1
3,1,26.0,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8026247516712269,0
1,0,16.0,0,1,2,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9895840618831608,1.1676636768146857,1
3,0,45.0,1,4,6,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2070571320915482,0.4246483508469598,0
1,0,43.0,0,1,3,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0555646359553614,2.501939718511447,1
1,0,30.0,0,0,2,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07086341107014699,1.792212944286666,1
3,1,28.5,0,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.04275596103199314,-0.12194272214359861,0
3,1,24.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3836140773384135,-0.8143999092757832,0
2,1,30.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07086341107014699,-0.33028389477929004,0
1,1,36.0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5253408994787074,0.7920969065041111,0
3,1,25.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3078678292703201,-0.9066876337170453,0
3,0,22.0,0,2,1,0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5351065734746003,-0.8198377001901485,0
1,0,50.0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5857883724320154,0.453527883400541,0
3,0,0.75,2,1,4,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.1447143449215855,0.05459331103885555,1
1,0,24.0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3836140773384135,1.0060826515106145,1
2,0,24.0,1,2,2,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.3836140773384135,1.2848118548521046,1
1,0,35.0,1,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.44959465141061405,1.0563244544087835,1
1,0,30.0,0,0,3,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.07086341107014699,1.578525257914135,1
2,1,23.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.45936032540650695,-0.33028389477929004,0
3,1,26.0,0,0,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8026247516712269,0
2,1,27.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.15637533313413327,0.3538149107368302,0
2,0,55.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.9645196127724824,-0.1280518059217785,1
1,0,35.0,1,0,2,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.44959465141061405,1.0777211989244448,1
3,1,26.0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.9317919604224623,0
1,0,35.0,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.44959465141061405,1.487786349869561,1
3,1,26.0,1,0,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,0.09039387392146443,0
2,0,23.0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.45936032540650695,-0.2729868733449113,1
3,0,22.0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5351065734746003,-0.8218275596699968,1
1,0,23.0,1,0,3,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.45936032540650695,1.8565990787296949,1
3,1,51.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.6615346205001087,-0.784724404505949,0
2,0,33.0,0,2,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.29810215527442724,0.3538149107368302,1
3,0,29.0,0,4,4,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0048828369979464345,0.14404676683461812,0
3,1,26.0,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8026247516712269,0
3,1,26.0,8,2,7,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,1.3542518555593583,0
2,0,2.0,1,1,2,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0500315348364686,0.3538149107368302,1
2,0,14.0,1,0,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1410765580193476,0.5000878808493708,1
2,1,54.0,1,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.888773364704389,0.3538149107368302,0
3,0,15.0,0,0,1,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0653303099512543,-0.7871211037142887,1
1,0,22.0,0,1,2,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.5351065734746003,1.1136744869782815,1
2,1,27.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.15637533313413327,-0.33028389477929004,0
3,1,26.0,0,0,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8026247516712269,0
1,1,41.0,0,0,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9040721398191746,0.7787143352831487,0
2,0,28.0,1,0,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.08062908506603986,0.273652613656195,1
3,1,39.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7525796436829877,-0.7992113668030308,0
2,1,2.0,1,1,3,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0500315348364686,0.3538149107368302,1
3,1,24.0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3836140773384135,-0.12194272214359861,0
3,1,32.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2223559072063338,-0.8026247516712269,0
3,1,45.5,0,0,1,0,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.244930256125595,-0.8842868607213866,0
2,0,8.0,0,2,3,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.595554046427908,0.3634149399685532,1
3,1,26.0,1,2,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,0.12018327638098583,0
1,0,29.0,0,0,3,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.0048828369979464345,2.501939718511447,1
2,0,45.0,1,1,3,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2070571320915482,0.3634149399685532,1
3,0,36.0,1,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5253408994787074,-0.04562270533862861,1
1,1,41.0,0,0,1,1,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9040721398191746,0.3538149107368302,0
3,0,4.0,0,2,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.8985390387002818,0.18793423461136882,1
2,1,16.0,0,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.9895840618831608,0.3538149107368302,0
1,1,58.0,0,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1917583569767625,0.4875826725250628,0
3,1,40.5,0,2,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8661990157851278,-0.22426746804580522,0
3,1,25.0,0,0,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.3078678292703201,-0.8318101975041274,0
3,1,26.0,0,0,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.8026247516712269,0
3,1,51.0,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.6615346205001087,-0.9061443341489741,0
2,1,29.0,0,0,3,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.0048828369979464345,-3.0791149207948,0
3,0,17.0,4,2,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.9138378138150675,-0.7992113668030308,1
3,1,26.0,0,0,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.23212158120222667,-0.9197077507304082,0
